Time,TranPPV,TranFreq,VertPPV,VertFreq,LongPPV,LongFreq,GeophonePVS
4/24/2018 9:50,0.003,2.3,0.002,51.2,0.003,4,0.004
4/24/2018 9:55,0.004,2.4,0.004,32,0.003,3.6,0.004
4/24/2018 10:00,0.003,2.9,0.003,17.7,0.003,9.7,0.004
4/24/2018 10:05,0.003,4.9,0.004,12.5,0.003,3.8,0.004
4/24/2018 10:10,0.003,1.6,0.003,15.1,0.003,2.9,0.004
4/24/2018 10:15,0.003,2.7,0.008,5.3,0.004,4.5,0.008
4/24/2018 10:20,0.003,1.7,0.005,10.9,0.003,11.4,0.006
4/24/2018 10:25,0.004,1.6,0.003,30.1,0.003,3.3,0.004
4/24/2018 10:30,0.004,2.1,0.004,7.8,0.003,5,0.005
4/24/2018 10:35,0.003,1.7,0.003,11.1,0.003,2.3,0.004
4/24/2018 10:40,0.003,3.2,0.003,39.4,0.003,3.8,0.004
4/24/2018 10:45,0.003,1.1,0.004,6.5,0.003,2.5,0.004
4/24/2018 10:50,0.004,1.8,0.005,7.1,0.003,7.1,0.005
4/24/2018 10:55,0.003,<1,0.003,13.5,0.003,2.5,0.004
4/24/2018 11:00,0.003,1.9,0.004,11.6,0.003,3.5,0.004
4/24/2018 11:05,0.003,1.3,0.003,34.1,0.003,12.8,0.004
4/24/2018 11:10,0.003,2.5,0.003,17.7,0.003,4.9,0.004
4/24/2018 11:15,0.003,2.3,0.003,32,0.003,17.7,0.004
4/24/2018 11:20,0.003,1.7,0.003,11.6,0.003,5,0.004
4/24/2018 11:25,0.004,2.3,0.006,8.1,0.004,5.2,0.006
4/24/2018 11:30,0.003,1.5,0.005,10.4,0.003,1.8,0.005
4/24/2018 11:35,0.003,4.3,0.003,16.5,0.003,5.4,0.004
4/24/2018 11:40,0.003,4.5,0.005,>100,0.003,5.6,0.005
4/24/2018 11:45,0.003,1.4,0.005,56.9,0.003,64,0.005
4/24/2018 11:50,0.003,2.7,0.003,16.5,0.003,4.8,0.004
4/24/2018 11:55,0.003,3.3,0.003,13.5,0.003,10.4,0.004
4/24/2018 12:00,0.003,6.1,0.004,8,0.003,5.1,0.005
4/24/2018 12:05,0.003,3.3,0.003,56.9,0.003,4.7,0.004
4/24/2018 12:10,0.003,1.7,0.003,36.6,0.003,14.6,0.004
4/24/2018 12:15,0.003,1.7,0.003,28.4,0.003,11.9,0.004
4/24/2018 12:20,0.003,1.6,0.002,34.1,0.003,9.3,0.004
4/24/2018 12:25,0.004,1.9,0.003,8.5,0.003,4.5,0.004
4/24/2018 12:30,0.004,2.7,0.005,9.8,0.003,4.3,0.005
4/24/2018 12:35,0.003,2,0.002,34.1,0.003,24.4,0.004
4/24/2018 12:40,0.003,1.7,0.003,22.3,0.003,8.1,0.004
4/24/2018 12:45,0.003,3.9,0.003,10,0.003,10.4,0.004
4/24/2018 12:50,0.003,2.7,0.003,7.6,0.003,85.3,0.004
4/24/2018 12:55,0.003,1.6,0.003,5.8,0.003,2.5,0.004
4/24/2018 13:00,0.003,1.8,0.003,8.1,0.003,4.6,0.004
4/24/2018 13:05,0.003,4.2,0.002,32,0.003,22.3,0.004
4/24/2018 13:10,0.003,1.4,0.004,6,0.003,5.8,0.004
4/24/2018 13:15,0.003,3.3,0.004,13.8,0.003,32,0.004
4/24/2018 13:20,0.003,1.6,0.003,15.5,0.003,8,0.004
4/24/2018 13:25,0.003,<1,0.003,30.1,0.003,9.5,0.004
4/24/2018 13:30,0.004,<1,0.003,10.7,0.003,15.5,0.004
4/24/2018 13:35,0.004,2.5,0.003,10,0.003,12.8,0.004
4/24/2018 13:40,0.003,1.4,0.005,5.3,0.003,14.2,0.005
4/24/2018 13:45,0.004,1.8,0.003,15.1,0.003,2.7,0.004
4/24/2018 13:50,0.003,1.3,0.003,8.3,0.003,6.5,0.004
4/24/2018 13:55,0.003,1.5,0.004,6.2,0.003,12.5,0.004
4/24/2018 14:00,0.004,6.6,0.005,>100,0.003,4.3,0.006
4/24/2018 14:05,0.003,2.4,0.007,5.1,0.003,4.7,0.008
4/24/2018 14:10,0.003,2.4,0.003,19,0.003,4.7,0.004
4/24/2018 14:15,0.003,1.7,0.003,19.7,0.003,7.4,0.004
4/24/2018 14:20,0.004,1.4,0.003,7.5,0.003,3.9,0.004
4/24/2018 14:25,0.003,1.5,0.003,32,0.003,4,0.004
4/24/2018 14:30,0.003,1,0.003,13.1,0.003,21.3,0.004
4/24/2018 14:35,0.004,1.6,0.003,9.1,0.003,3.4,0.004
4/24/2018 14:40,0.003,1.3,0.003,15.5,0.003,5.1,0.004
4/24/2018 14:45,0.003,2.2,0.003,15.1,0.003,28.4,0.004
4/24/2018 14:50,0.003,1.3,0.003,32,0.003,4.3,0.004
4/24/2018 14:55,0.003,2.8,0.003,28.4,0.003,4.5,0.004
4/24/2018 15:00,0.003,2.9,0.004,5.2,0.003,3.2,0.004
4/24/2018 15:05,0.003,3.6,0.004,4.4,0.003,5.9,0.004
4/24/2018 15:10,0.003,2.9,0.004,5.4,0.003,4.8,0.005
4/24/2018 15:15,0.003,2.2,0.002,73.1,0.003,2.4,0.004
4/24/2018 15:20,0.003,28.4,0.002,56.9,0.003,17.7,0.004
4/24/2018 15:25,0.003,1.5,0.003,64,0.003,13.5,0.004
